name_employee,birth_date,age,gender,marital_status,hiring_date,position,salary,performance_score,last_performance_date,average_work_hours,satisfaction_level,absences
"Rachael, Maggie",05/12/80,41,F,Married,10/02/16,BI Developer,95920,3,02/06/19,4110,4.4,10
"Chivukula, Enola",27/08/83,38,F,Single,27/06/11,Production Technician I,64786,3,03/10/15,4775,4.3,3
"Strong, Caitrin",05/12/89,32,F,Married,27/09/10,Area Sales Manager,60120,3,31/01/19,5102,4.1,18
"Barbara, Thomas",21/02/74,47,M ,Married,04/02/12,Production Technician I,47211,3,05/06/16,4062,4.2,15
"Gold, Shenice  ",18/06/92,29,F,Single,11/11/13,Production Technician I,53018,3,18/02/19,4451,4.3,7
"Kampew, Donysha",11/11/89,32,F,Single,11/07/11,Sales Manager,68999,3,30/03/13,4444,4.5,2
"Becker, Renee",04/04/86,35,F,Single,07/07/14,Database Administrator,110000,3,15/01/15,4026,4.5,8
"Goble, Taisha",23/10/71,50,F,Single,16/02/15,Database Administrator,114800,3,20/01/15,4127,4.6,10
"Engdahl, Jean",31/05/74,47,M ,Single,11/10/14,Production Technician I,48888,3,13/02/19,4026,4.7,8
"Hudson, Jane",06/10/86,35,F,Single,20/02/12,Production Technician I,55425,3,01/07/19,4176,4.8,4
"Latif, Mohammed",05/09/84,37,M ,Married,04/02/12,Production Technician II,61962,3,20/02/13,4126,4.9,20
"Bacong, Alejandro ",01/07/88,33,M ,Divorced,01/05/15,IT Support,50178,3,18/02/19,4886,5.0,16
"Lecter, Hannibal",09/02/82,39,M ,Married,14/05/12,Production Technician I,64738,3,22/02/19,4776,4.1,10
"Baczenski, Rachael  ",01/12/74,47,F,Married,01/10/11,Production Technician I,54670,3,30/01/16,4902,4.2,12
"Villanueva, Noah",07/11/89,32,M ,Single,03/05/12,Area Sales Manager,55875,3,18/01/19,4063,4.5,11
"Motlagh,  Dawn",07/07/84,37,F,Divorced,04/01/13,Production Technician I,63430,3,17/01/19,4453,4.4,18
"Givens, Myriam",22/09/89,32,F,Single,16/02/15,Area Sales Manager,61555,3,25/01/19,4204,4.5,20
"Goyal, Roxana",10/09/74,47,F,Married,19/08/13,Production Technician I,49256,3,15/02/19,4864,4.1,3
"Gaul, Barbara",12/02/83,38,F,Single,16/05/11,Production Technician I,53171,3,26/02/19,4121,4.2,12
"Fraval, Maruk ",28/08/63,58,M ,Single,09/06/11,Area Sales Manager,67251,3,27/01/19,4050,4.3,7
"Pearson, Randall",09/05/84,37,M ,Married,12/01/14,Data Analyst,93093,3,16/01/16,4747,4.7,19
"Sadki, Nore  ",21/12/74,47,M ,Single,01/05/09,Production Technician I,46428,3,02/05/18,4148,4.6,7
"Cockel, James",09/08/77,44,M ,Single,07/08/13,Production Technician I,63108,3,14/01/19,4452,4.4,3
"Purinton, Janine",22/09/70,51,F,Divorced,24/09/12,Production Technician I,46430,3,04/02/13,4474,4.5,16
"Faller, Megan ",22/09/78,43,F,Married,07/07/14,Production Technician II,71776,3,22/02/19,4824,4.4,17
"Williams, Jacquelyn  ",10/02/69,52,F,Single,01/09/12,Production Technician I,59728,3,06/02/14,4109,4.3,16
"Barone, Francesco  A",20/07/83,38,M ,Single,20/02/12,Production Technician I,58709,3,14/02/19,4810,4.6,7
"Stoica, Rick",14/03/85,36,M ,Married,17/02/14,Production Technician I,61355,3,01/11/19,4301,4.7,4
"Bondwell, Betsy",16/01/67,54,F,Single,01/10/11,Production Technician II,57815,3,03/04/14,4210,4.8,5
"Thibaud, Kenneth",16/09/75,46,M ,Widowed,25/06/07,Production Technician II,67176,3,14/07/10,4472,4.1,15
"Close, Phil",25/11/78,43,M ,Married,30/08/10,Production Technician II,59369,3,05/04/11,4169,4.2,6
"Trzeciak, Cybil",15/03/85,36,F,Single,01/10/11,Production Technician II,74813,3,01/05/14,4778,4.4,5
"Zima, Colleen",17/08/78,43,F,Widowed,29/09/14,Production Technician I,45046,3,30/01/19,4730,4.5,2
"Houlihan, Debra",17/03/66,55,F,Married,05/05/14,Director of Sales,180000,3,21/01/19,4908,4.5,19
"Galia, Lisa",07/06/68,53,F,Single,05/01/10,IT Support,65707,3,02/01/19,4040,4.7,1
"Wallace, Courtney  E",14/11/55,66,F,Married,26/09/11,Production Manager,80512,3,01/02/12,4478,4.5,5
"Cloninger, Jennifer",31/08/81,40,F,Married,16/05/11,Production Technician II,64066,3,05/03/12,4752,4.2,9
"Dickinson, Geoff ",15/11/82,39,M ,Single,05/12/14,Production Technician I,51259,3,19/02/19,4180,4.3,1
"Becker, Scott",04/06/79,42,M ,Single,07/08/13,Production Technician I,53250,3,01/11/19,4452,4.2,13
"Stanford,Barbara  M",25/08/82,39,F,Divorced,01/10/11,Production Technician I,47961,3,02/07/19,4050,4.1,9
"Mangal, Debbie",11/07/74,47,F,Married,11/11/13,Production Technician I,61349,3,22/01/19,4451,4.1,11
"Estremera, Miguel",09/02/83,38,M ,Single,04/02/12,Production Technician I,60340,2,04/12/18,4129,5.0,16
"Owad, Clinton",24/11/79,42,M ,Single,17/02/14,Production Technician I,53060,2,02/04/19,4760,4.25,6
"Corleone, Michael",17/12/75,46,M ,Divorced,20/07/10,Production Manager,68051,2,14/01/19,4803,4.13,3
"Gilles, Alex",08/09/74,47,M ,Married,04/02/12,Production Technician I,54933,2,20/01/15,4062,3.97,15
"DiNocco, Lily ",12/02/78,43,F,Married,01/07/13,Production Technician I,61584,2,18/01/19,4351,3.88,6
"Robinson, Cherly",01/07/85,36,F,Married,01/10/11,Production Technician I,61422,2,04/05/16,4460,3.6,16
"Smith, Martin",17/03/88,33,M ,Single,01/10/11,Production Technician I,53564,2,04/06/17,4458,3.54,15
"Trang, Mei",16/05/83,38,F,Single,17/02/14,Production Technician I,63025,2,02/11/19,4021,2.44,18
"Monroe, Peter",10/05/86,35,M ,Married,15/02/12,IT Manager - Infra,157000,2,22/02/19,4134,2.39,13
"Immediato, Walter",15/11/76,45,M ,Married,21/02/11,Production Manager,83082,2,04/12/12,4128,2.34,4
"Exantus, Susan",15/05/87,34,F,Married,05/02/11,Software Engineer,99280,2,08/10/12,4749,2.1,19
"Smith, John",16/08/84,37,M ,Divorced,18/05/14,Sales Manager,72992,2,16/01/19,4886,2.4,16
"Cole, Spencer",08/12/79,42,M ,Single,07/11/11,Production Technician I,59144,2,05/01/16,4880,2.0,16
"Wallace, Theresa",08/02/80,41,F,Single,13/08/12,Production Technician I,50274,2,09/05/14,4887,2.5,13
"Blount, Dianna",21/09/90,31,F,Single,04/04/11,Production Technician II,66441,2,27/02/19,4171,2.0,3
"Saar-Beckles, Melinda",06/06/68,53,F,Single,07/04/16,Production Technician I,47750,2,18/02/19,4801,2.6,4
"Evensen, April",05/06/89,32,F,Single,17/02/14,Production Technician I,59124,2,15/01/17,4458,2.3,19
"Pelletier, Ermine",18/07/89,32,F,Married,07/05/11,Production Technician II,60270,2,02/06/15,4472,2.4,2
"Miller, Ned",29/06/85,36,M ,Single,15/08/11,Production Technician II,55800,1,14/01/13,4472,3.0,6
"Erilus, Angela",25/08/89,32,F,Separated,07/07/14,Production Technician II,56847,1,25/02/19,4133,3.0,5
"Gonzalez, Juan",10/12/64,57,M ,Married,26/04/10,Production Technician II,68898,1,03/06/11,4128,3.0,10
"Ybarra, Catherine ",05/04/82,39,F,Single,09/02/08,Production Technician I,48513,1,09/02/15,4458,3.2,4
"Sparks, Taylor  ",20/07/68,53,F,Married,20/02/12,Production Technician I,64021,1,25/02/19,4093,2.4,20
"O'hare, Lynn",30/09/80,41,F,Single,31/03/14,Production Technician I,52674,1,03/09/18,4152,2.33,3
"Dietrich, Jenna  ",14/05/87,34,F,Single,20/02/12,Area Sales Manager,59231,1,29/01/19,4052,2.3,17
"Forrest, Alex",07/07/75,46,M ,Married,29/09/14,Area Sales Manager,70187,3,28/01/19,4330,2.0,7
"Delarge, Alex",11/02/75,46,M ,Single,29/09/14,Area Sales Manager,61568,1,30/01/19,4006,1.93,5
"Stansfield, Norman",05/09/74,47,M ,Married,05/12/14,Area Sales Manager,58273,1,17/01/19,4139,1.81,5
"Fernandes, Nilson  ",18/10/89,32,M ,Married,05/11/15,Production Technician I,64057,1,01/03/19,4132,1.56,15
"Fett, Boba",18/06/87,34,M ,Single,30/03/15,Network Engineer,53366,1,02/04/19,4138,1.2,2
"Desimone, Carl ",19/04/67,54,M ,Married,07/07/14,Production Technician I,53189,1,31/01/19,4061,1.12,9
"Dee, Randy",15/04/88,33,M ,Married,07/09/18,Production Technician I,56991,1,31/01/19,4138,4.3,2
